Province,District,Long,Lat,Ele,River ,Flat,"Main OCC
Farming
0:No
1:Yes","Second OCC
Farming
0:No
1:Yes","Migration
BackG
0:No
1:Yes","Literate
0:no
1:yes","Gender 
0:F
1:M",Age,"Work on
farm","Work off
farm"," Not
 employed   ","Female
 work
on farm","Importance
of farming
0:not atll Impornt
1:importnt
2:Very impornt","Crop Net
Income",t4,r4
2,8,67.553483,33.004468,2496.609619,0,1,0,0,1,0,1,47,2,0,5,1,2,-7730,9.41019875,47.236904
2,8,67.37231,33.234317,2931.391113,0,0,1,0,0,1,1,72,2,0,4,1,2,-1100,5.30274925,100.8903353
2,8,67.556657,33.004065,2490.602295,0,0,0,0,1,1,1,30,3,2,3,2,2,1400,9.461774,46.70754725
2,8,67.661755,33.357105,2917.892822,0,1,1,1,0,0,1,70,5,0,10,4,2,1750,5.24234625,100.3012425
2,8,67.531135,32.953105,2442.325684,0,1,0,0,1,1,1,45,1,0,7,1,1,-1000,9.8786145,41.33291925
2,8,67.47547,33.085765,2642.362549,0,0,1,0,1,0,1,60,1,0,8,2,2,12625,7.71852225,70.7603875
2,8,67.515003,32.940105,2440.039795,0,0,1,1,1,1,1,50,2,0,8,2,2,17400,9.90247475,41.0810175
2,8,67.395333,33.271952,2951.804199,1,0,0,0,0,1,1,18,3,1,2,2,2,12850,5.044752,103.0457725
2,8,67.252712,33.027887,2689.387695,0,0,1,0,0,0,1,38,2,0,6,2,2,6000,7.56143025,81.2811605
2,8,67.372292,33.234495,2931.391113,0,0,1,1,1,0,1,42,3,0,9,3,2,42400,5.30274925,100.8903353
2,8,67.381535,33.262,2949.124512,0,0,1,0,1,1,1,50,2,1,5,1,2,19450,5.1168925,102.785038
2,8,67.476213,33.169802,2757.845947,0,0,1,0,0,0,1,89,3,0,11,3,2,14060,6.33415825,91.033657
2,8,67.215042,33.200163,2977.356201,0,0,1,0,1,1,1,60,2,0,7,1,2,-15500,5.1252595,97.19409
